epoch,acc,loss,lr,val_acc,val_loss
0,0.8114683032035828,0.9786143898963928,1e-04,0.9305555820465088,0.7935734391212463
1,0.9551115036010742,0.7468435168266296,1e-04,0.9375,0.7694399952888489
2,0.9843614101409912,0.7009869813919067,1e-04,0.9444444179534912,0.765900731086731
3,0.991891086101532,0.6843807697296143,1e-04,0.9467592835426331,0.7668807506561279
4,0.9898638725280762,0.6863200068473816,1e-04,0.9282407164573669,0.7879391312599182
5,0.9976831674575806,0.6729391813278198,1e-05,0.9421296119689941,0.7592837810516357
6,0.9988415837287903,0.6700520515441895,1e-05,0.9444444179534912,0.7591216564178467
7,0.9991312026977539,0.6705531477928162,1e-05,0.9467592835426331,0.755892813205719
8,0.9991312026977539,0.6713374257087708,1e-05,0.9421296119689941,0.7621804475784302
9,0.9991312026977539,0.6719509363174438,1e-05,0.9444444179534912,0.7623929381370544
10,0.9994208216667175,0.6729438304901123,1e-06,0.9444444179534912,0.765274703502655
11,0.9991312026977539,0.6763936281204224,1e-06,0.9421296119689941,0.7681019902229309
12,0.9991312026977539,0.680545449256897,1e-07,0.9421296119689941,0.7728092074394226
