epoch,acc,loss,lr,val_acc,val_loss
0,0.30553141236305237,1.567016839981079,1e-04,0.34490740299224854,1.4666274785995483
1,0.43092963099479675,1.270127534866333,1e-04,0.41435185074806213,1.3043032884597778
2,0.5041992664337158,1.1593005657196045,1e-04,0.5277777910232544,1.091477870941162
3,0.5522733926773071,1.0692185163497925,1e-04,0.5810185074806213,1.021545171737671
4,0.5994787216186523,0.9910845756530762,1e-04,0.5833333134651184,0.9945748448371887
5,0.626122236251831,0.9379857182502747,1e-04,0.6064814925193787,0.9804180860519409
6,0.6437880396842957,0.8963048458099365,1e-04,0.5879629850387573,0.9489794373512268
7,0.6623226404190063,0.8571853637695312,1e-04,0.6134259104728699,0.9626308679580688
8,0.6730379462242126,0.8311054110527039,1e-04,0.6157407164573669,0.993346631526947
9,0.7089487314224243,0.7473539710044861,1e-05,0.6527777910232544,0.9124579429626465
10,0.7245873212814331,0.7147323489189148,1e-05,0.6481481194496155,0.9129752516746521
11,0.7190848588943481,0.7057068347930908,1e-05,0.6435185074806213,0.9160769581794739
12,0.739357054233551,0.6850794553756714,1e-06,0.6597222089767456,0.8986033201217651
13,0.7344338297843933,0.6797303557395935,1e-06,0.6643518805503845,0.899972140789032
14,0.7260353565216064,0.6837189197540283,1e-06,0.6689814925193787,0.9006577730178833
15,0.7306689620018005,0.6767393350601196,1e-07,0.6666666865348816,0.9001139998435974
16,0.735592246055603,0.6760132908821106,1e-07,0.6666666865348816,0.8997917175292969
17,0.7326962351799011,0.6812992095947266,1e-08,0.6666666865348816,0.8997500538825989
