,precision,recall,f1-score,support
daisy,0.6607142857142857,0.6491228070175439,0.6548672566371682,57.0
dandelion,0.640625,0.8118811881188119,0.7161572052401747,101.0
rose,0.6153846153846154,0.5128205128205128,0.5594405594405595,78.0
sunflower,0.8058252427184466,0.8829787234042553,0.8426395939086295,94.0
tulip,0.725,0.5686274509803921,0.6373626373626374,102.0
accuracy,,,0.6944444444444444,432.0
macro avg,0.6895098287634696,0.6850861364683032,0.6820934505178339,432.0
weighted avg,0.6945866020862228,0.6944444444444444,0.6886916338711576,432.0
